runs,player,team,season,match,stadium
3,A Ashish Reddy,Chennai Super Kings,5,548357,"MA Chidambaram Stadium, Chepauk"
36,A Ashish Reddy,Chennai Super Kings,6,598035,"MA Chidambaram Stadium, Chepauk"
6,A Ashish Reddy,Chennai Super Kings,8,829778,"Rajiv Gandhi International Stadium, Uppal"
2,A Kumble,Chennai Super Kings,1,336034,"MA Chidambaram Stadium, Chepauk"
1,A Kumble,Chennai Super Kings,2,392190,St George's Park
11,A Mishra,Chennai Super Kings,2,392211,New Wanderers Stadium
6,A Mishra,Chennai Super Kings,3,419121,Feroz Shah Kotla
2,A Mishra,Chennai Super Kings,4,501241,"MA Chidambaram Stadium, Chepauk"
15,A Mishra,Chennai Super Kings,6,598035,"MA Chidambaram Stadium, Chepauk"
6,A Mishra,Chennai Super Kings,6,598056,"Rajiv Gandhi International Stadium, Uppal"
4,A Mishra,Chennai Super Kings,8,829712,"MA Chidambaram Stadium, Chepauk"
11,A Mithun,Chennai Super Kings,4,501276,"MA Chidambaram Stadium, Chepauk"
1,A Nehra,Chennai Super Kings,1,335994,"MA Chidambaram Stadium, Chepauk"
0,A Nehra,Chennai Super Kings,6,598067,"MA Chidambaram Stadium, Chepauk"
1,A Singh,Chennai Super Kings,4,501254,Sawai Mansingh Stadium
50,A Symonds,Chennai Super Kings,3,419115,"MA Chidambaram Stadium, Chepauk"
27,A Symonds,Chennai Super Kings,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
23,A Symonds,Chennai Super Kings,3,419168,Dr DY Patil Sports Academy
31,A Symonds,Chennai Super Kings,4,501226,Wankhede Stadium
12,AA Bilakhia,Chennai Super Kings,2,392201,Kingsmead
11,AA Jhunjhunwala,Chennai Super Kings,3,419134,"Sardar Patel Stadium, Motera"
7,AA Jhunjhunwala,Chennai Super Kings,3,419142,"MA Chidambaram Stadium, Chepauk"
1,AA Jhunjhunwala,Chennai Super Kings,5,548357,"MA Chidambaram Stadium, Chepauk"
11,AB Agarkar,Chennai Super Kings,1,335998,"MA Chidambaram Stadium, Chepauk"
9,AB Agarkar,Chennai Super Kings,3,419158,"MA Chidambaram Stadium, Chepauk"
3,AB Agarkar,Chennai Super Kings,6,598025,Feroz Shah Kotla
26,AB de Villiers,Chennai Super Kings,1,336006,"MA Chidambaram Stadium, Chepauk"
0,AB de Villiers,Chennai Super Kings,1,336014,Feroz Shah Kotla
105,AB de Villiers,Chennai Super Kings,2,392194,Kingsmead
0,AB de Villiers,Chennai Super Kings,2,392211,New Wanderers Stadium
2,AB de Villiers,Chennai Super Kings,3,419121,Feroz Shah Kotla
65,AB de Villiers,Chennai Super Kings,4,501216,"MA Chidambaram Stadium, Chepauk"
0,AB de Villiers,Chennai Super Kings,4,501271,M Chinnaswamy Stadium
11,AB de Villiers,Chennai Super Kings,4,501273,Wankhede Stadium
18,AB de Villiers,Chennai Super Kings,4,501276,"MA Chidambaram Stadium, Chepauk"
4,AB de Villiers,Chennai Super Kings,5,548323,"MA Chidambaram Stadium, Chepauk"
64,AB de Villiers,Chennai Super Kings,6,598017,"MA Chidambaram Stadium, Chepauk"
5,AB de Villiers,Chennai Super Kings,6,598073,M Chinnaswamy Stadium
28,AB de Villiers,Chennai Super Kings,7,734018,JSCA International Stadium Complex
10,AB de Villiers,Chennai Super Kings,7,734040,M Chinnaswamy Stadium
14,AB de Villiers,Chennai Super Kings,8,829750,M Chinnaswamy Stadium
21,AB de Villiers,Chennai Super Kings,8,829784,"MA Chidambaram Stadium, Chepauk"
1,AB de Villiers,Chennai Super Kings,8,829826,JSCA International Stadium Complex
2,AB Dinda,Chennai Super Kings,6,598043,Subrata Roy Sahara Stadium
