wins,loss,total,player
20,-22,42,A Kumble
36,-34,70,AC Gilchrist
4,-10,14,AJ Finch
8,-5,13,CL White
24,-21,45,DA Warner
0,-13,13,DJ Bravo
17,0,17,DJ Hussey
9,-11,20,DJG Sammy
12,-10,22,DL Vettori
19,-36,55,DPMD Jayawardene
75,-80,155,G Gambhir
14,-16,30,GJ Bailey
0,-6,6,JR Hopes
30,-60,90,KC Sangakkara
8,-11,19,KP Pietersen
2,0,2,LRPL Taylor
6,-19,25,M Vijay
83,-100,183,MS Dhoni
0,-8,8,PA Patel
24,-22,46,R Dravid
57,-40,97,RG Sharma
3,-3,6,RT Ponting
21,-48,69,SC Ganguly
9,-6,15,SK Raina
31,-24,55,SK Warne
13,-10,23,SPD Smith
70,-66,136,V Kohli
14,0,14,V Sehwag
8,-10,18,Z Khan
