runs,average,player,team
655,38.52941176,RG Sharma,Kolkata Knight Riders
549,34.3125,SK Raina,Kolkata Knight Riders
527,43.91666667,CH Gayle,Kolkata Knight Riders
488,30.5,DA Warner,Kolkata Knight Riders
451,37.58333333,DPMD Jayawardene,Kolkata Knight Riders
389,25.93333333,S Dhawan,Kolkata Knight Riders
386,25.73333333,V Kohli,Kolkata Knight Riders
359,23.93333333,MS Dhoni,Kolkata Knight Riders
345,23,Yuvraj Singh,Kolkata Knight Riders
344,31.27272727,SR Watson,Kolkata Knight Riders
616,36.23529412,G Gambhir,Royal Challengers Bangalore
559,27.95,MS Dhoni,Royal Challengers Bangalore
555,42.69230769,DA Warner,Royal Challengers Bangalore
549,26.14285714,SK Raina,Royal Challengers Bangalore
494,38,BB McCullum,Royal Challengers Bangalore
463,24.36842105,RG Sharma,Royal Challengers Bangalore
452,34.76923077,AM Rahane,Royal Challengers Bangalore
438,33.69230769,RV Uthappa,Royal Challengers Bangalore
406,29,AT Rayudu,Royal Challengers Bangalore
403,36.63636364,JP Duminy,Royal Challengers Bangalore
706,37.15789474,V Kohli,Chennai Super Kings
535,25.47619048,RG Sharma,Chennai Super Kings
492,30.75,RV Uthappa,Chennai Super Kings
480,40,SR Watson,Chennai Super Kings
448,29.86666667,S Dhawan,Chennai Super Kings
429,26.8125,G Gambhir,Chennai Super Kings
405,28.92857143,V Sehwag,Chennai Super Kings
378,23.625,KA Pollard,Chennai Super Kings
374,22,AB de Villiers,Chennai Super Kings
371,21.82352941,KD Karthik,Chennai Super Kings
797,53.13333333,CH Gayle,Kings XI Punjab
620,34.44444444,SK Raina,Kings XI Punjab
591,31.10526316,G Gambhir,Kings XI Punjab
547,42.07692308,DA Warner,Kings XI Punjab
544,27.2,RV Uthappa,Kings XI Punjab
523,29.05555556,RG Sharma,Kings XI Punjab
477,26.5,V Kohli,Kings XI Punjab
448,28,MS Dhoni,Kings XI Punjab
438,27.375,S Dhawan,Kings XI Punjab
406,33.83333333,PA Patel,Kings XI Punjab
485,37.30769231,AB de Villiers,Rajasthan Royals
471,27.70588235,SK Raina,Rajasthan Royals
423,26.4375,G Gambhir,Rajasthan Royals
421,60.14285714,SE Marsh,Rajasthan Royals
403,25.1875,RG Sharma,Rajasthan Royals
384,29.53846154,Yuvraj Singh,Rajasthan Royals
366,33.27272727,M Vijay,Rajasthan Royals
355,35.5,DR Smith,Rajasthan Royals
350,50,MEK Hussey,Rajasthan Royals
331,25.46153846,S Dhawan,Rajasthan Royals
655,34.47368421,RG Sharma,Delhi Daredevils
622,47.84615385,AM Rahane,Delhi Daredevils
603,40.2,V Kohli,Delhi Daredevils
488,28.70588235,RV Uthappa,Delhi Daredevils
408,22.66666667,SK Raina,Delhi Daredevils
403,26.86666667,MS Dhoni,Delhi Daredevils
360,27.69230769,Yuvraj Singh,Delhi Daredevils
356,25.42857143,AT Rayudu,Delhi Daredevils
353,35.3,R Dravid,Delhi Daredevils
343,20.17647059,YK Pathan,Delhi Daredevils
679,28.29166667,SK Raina,Mumbai Indians
512,25.6,MS Dhoni,Mumbai Indians
475,36.53846154,JH Kallis,Mumbai Indians
475,47.5,SE Marsh,Mumbai Indians
445,37.08333333,CH Gayle,Mumbai Indians
443,29.53333333,AB de Villiers,Mumbai Indians
433,25.47058824,RV Uthappa,Mumbai Indians
426,30.42857143,S Dhawan,Mumbai Indians
419,29.92857143,V Sehwag,Mumbai Indians
410,31.53846154,DA Warner,Mumbai Indians
339,30.81818182,R Dravid,Deccan Chargers
327,32.7,SC Ganguly,Deccan Chargers
317,28.81818182,V Sehwag,Deccan Chargers
312,34.66666667,YK Pathan,Deccan Chargers
310,31,SK Raina,Deccan Chargers
300,30,V Kohli,Deccan Chargers
292,26.54545455,JH Kallis,Deccan Chargers
281,28.1,MS Dhoni,Deccan Chargers
263,32.875,TM Dilshan,Deccan Chargers
250,41.66666667,DJ Hussey,Deccan Chargers
100,100,SR Tendulkar,Kochi Tuskers Kerala
95,47.5,V Sehwag,Kochi Tuskers Kerala
76,38,EJG Morgan,Kochi Tuskers Kerala
