Runs,Player,Season,venue,Team
127,M Vijay,3,8,Rajasthan Royals
117,A Symonds,1,7,Rajasthan Royals
115,SE Marsh,1,2,Rajasthan Royals
98,SK Raina,2,13,Rajasthan Royals
95,CJ Anderson,7,4,Rajasthan Royals
89,GJ Maxwell,7,30,Rajasthan Royals
89,SR Tendulkar,3,6,Rajasthan Royals
88,MEK Hussey,6,8,Rajasthan Royals
87,DR Smith,5,6,Rajasthan Royals
83,Yuvraj Singh,7,1,Rajasthan Royals
108,V Kohli,9,1,Rising Pune Supergiants
85,RG Sharma,9,32,Rising Pune Supergiants
83,AB de Villiers,9,32,Rising Pune Supergiants
80,V Kohli,9,32,Rising Pune Supergiants
63,DR Smith,9,32,Rising Pune Supergiants
60,SA Yadav,9,32,Rising Pune Supergiants
59,M Vijay,9,25,Rising Pune Supergiants
56,S Dhawan,9,7,Rising Pune Supergiants
53,M Vijay,9,33,Rising Pune Supergiants
51,Gurkeerat Singh,9,25,Rising Pune Supergiants
158,BB McCullum,1,1,Royal Challengers Bangalore
108,Q de Kock,9,1,Royal Challengers Bangalore
106,AC Gilchrist,4,22,Royal Challengers Bangalore
103,AM Rahane,5,1,Royal Challengers Bangalore
101,DA Miller,6,2,Royal Challengers Bangalore
95,M Vijay,4,8,Royal Challengers Bangalore
93,G Gambhir,5,5,Royal Challengers Bangalore
92,DA Warner,9,7,Royal Challengers Bangalore
89,M Vijay,9,33,Royal Challengers Bangalore
86,G Gambhir,1,3,Royal Challengers Bangalore
175,CH Gayle,6,1,Pune Warriors
90,SR Watson,5,26,Pune Warriors
87,V Sehwag,5,26,Pune Warriors
82,KC Sangakkara,5,20,Pune Warriors
81,CH Gayle,5,1,Pune Warriors
80,DA Miller,6,2,Pune Warriors
78,CL White,5,26,Pune Warriors
77,Mandeep Singh,6,2,Pune Warriors
74,CL White,5,20,Pune Warriors
72,YK Pathan,6,28,Pune Warriors
133,AB de Villiers,8,4,Mumbai Indians
109,AC Gilchrist,1,9,Mumbai Indians
100,YK Pathan,3,18,Mumbai Indians
95,V Sehwag,6,3,Mumbai Indians
94,KC Sangakkara,1,2,Mumbai Indians
92,CH Gayle,6,1,Mumbai Indians
90,DA Warner,9,7,Mumbai Indians
89,SR Watson,4,4,Mumbai Indians
89,CH Gayle,4,8,Mumbai Indians
86,MEK Hussey,6,3,Mumbai Indians
117,CH Gayle,8,1,Kings XI Punjab
116,MEK Hussey,1,2,Kings XI Punjab
113,V Kohli,9,1,Kings XI Punjab
107,CH Gayle,4,1,Kings XI Punjab
100,SK Raina,6,8,Kings XI Punjab
100,LMP Simmons,7,2,Kings XI Punjab
98,AM Rahane,5,6,Kings XI Punjab
95,S Dhawan,4,22,Kings XI Punjab
94,MK Pandey,7,1,Kings XI Punjab
89,ML Hayden,2,13,Kings XI Punjab
100,SR Tendulkar,4,4,Kochi Tuskers Kerala
80,V Sehwag,4,23,Kochi Tuskers Kerala
69,KD Karthik,4,24,Kochi Tuskers Kerala
66,EJG Morgan,4,23,Kochi Tuskers Kerala
65,KC Sangakkara,4,23,Kochi Tuskers Kerala
54,AB de Villiers,4,23,Kochi Tuskers Kerala
53,AT Rayudu,4,4,Kochi Tuskers Kerala
52,TM Dilshan,4,1,Kochi Tuskers Kerala
50,SK Raina,4,23,Kochi Tuskers Kerala
49,SR Watson,4,6,Kochi Tuskers Kerala
115,WP Saha,7,1,Kolkata Knight Riders
110,DPMD Jayawardene,3,5,Kolkata Knight Riders
109,RG Sharma,5,5,Kolkata Knight Riders
107,DA Warner,3,3,Kolkata Knight Riders
104,SR Watson,8,18,Kolkata Knight Riders
102,CH Gayle,4,5,Kolkata Knight Riders
98,RG Sharma,8,5,Kolkata Knight Riders
96,CH Gayle,8,5,Kolkata Knight Riders
95,MEK Hussey,6,8,Kolkata Knight Riders
91,DA Warner,8,25,Kolkata Knight Riders
129,AB de Villiers,9,1,Gujarat Lions
105,V Kohli,9,1,Gujarat Lions
101,SPD Smith,9,32,Gujarat Lions
100,V Kohli,9,34,Gujarat Lions
93,DA Warner,9,3,Gujarat Lions
82,CH Morris,9,3,Gujarat Lions
79,AB de Villiers,9,1,Gujarat Lions
74,DA Warner,9,34,Gujarat Lions
70,N Rana,9,35,Gujarat Lions
69,F du Plessis,9,34,Gujarat Lions
128,CH Gayle,5,3,Delhi Daredevils
113,M Vijay,5,8,Delhi Daredevils
99,V Kohli,6,3,Delhi Daredevils
95,SE Marsh,4,3,Delhi Daredevils
93,ML Hayden,3,3,Delhi Daredevils
91,AM Rahane,8,18,Delhi Daredevils
88,AJ Finch,7,31,Delhi Daredevils
86,KH Pandya,9,25,Delhi Daredevils
86,KD Karthik,6,4,Delhi Daredevils
86,JD Ryder,5,3,Delhi Daredevils
119,V Sehwag,4,7,Deccan Chargers
114,MK Pandey,2,13,Deccan Chargers
109,DA Warner,5,7,Deccan Chargers
103,KP Pietersen,5,3,Deccan Chargers
94,V Sehwag,1,7,Deccan Chargers
93,DPMD Jayawardene,3,22,Deccan Chargers
91,SC Ganguly,1,7,Deccan Chargers
88,SC Ganguly,3,5,Deccan Chargers
84,SE Marsh,1,7,Deccan Chargers
79,G Gambhir,1,3,Deccan Chargers
122,V Sehwag,7,4,Chennai Super Kings
120,PC Valthaty,4,2,Chennai Super Kings
114,ST Jayasuriya,1,4,Chennai Super Kings
105,AB de Villiers,2,12,Chennai Super Kings
101,SR Watson,6,8,Chennai Super Kings
95,GJ Maxwell,7,29,Chennai Super Kings
94,NV Ojha,3,8,Chennai Super Kings
92,MS Bisla,6,8,Chennai Super Kings
91,GC Smith,1,8,Chennai Super Kings
90,GJ Maxwell,7,20,Chennai Super Kings
100,BB McCullum,8,8,Sunrisers Hyderabad
99,SK Raina,6,7,Sunrisers Hyderabad
98,SR Watson,6,6,Sunrisers Hyderabad
96,HM Amla,9,33,Sunrisers Hyderabad
95,GJ Maxwell,7,30,Sunrisers Hyderabad
93,V Kohli,6,1,Sunrisers Hyderabad
90,G Gambhir,9,7,Sunrisers Hyderabad
89,AB de Villiers,7,1,Sunrisers Hyderabad
89,DA Miller,8,7,Sunrisers Hyderabad
83,KK Nair,9,27,Sunrisers Hyderabad
