wickets,matches,player,team
2,2,A Ashish Reddy,Kolkata Knight Riders
6,4,A Ashish Reddy,Royal Challengers Bangalore
2,2,A Ashish Reddy,Chennai Super Kings
2,1,A Ashish Reddy,Kings XI Punjab
1,1,A Ashish Reddy,Delhi Daredevils
1,1,A Ashish Reddy,Mumbai Indians
4,3,A Ashish Reddy,Pune Warriors
1,1,A Chandila,Chennai Super Kings
1,1,A Chandila,Kings XI Punjab
2,1,A Chandila,Mumbai Indians
1,1,A Chandila,Deccan Chargers
4,1,A Chandila,Pune Warriors
2,1,A Chandila,Sunrisers Hyderabad
1,1,A Flintoff,Royal Challengers Bangalore
1,1,A Flintoff,Mumbai Indians
4,3,A Kumble,Kolkata Knight Riders
7,4,A Kumble,Chennai Super Kings
4,3,A Kumble,Kings XI Punjab
9,3,A Kumble,Rajasthan Royals
5,3,A Kumble,Delhi Daredevils
3,3,A Kumble,Mumbai Indians
13,6,A Kumble,Deccan Chargers
12,9,A Mishra,Kolkata Knight Riders
12,7,A Mishra,Royal Challengers Bangalore
7,5,A Mishra,Chennai Super Kings
21,12,A Mishra,Kings XI Punjab
26,12,A Mishra,Rajasthan Royals
6,5,A Mishra,Delhi Daredevils
14,10,A Mishra,Mumbai Indians
11,5,A Mishra,Deccan Chargers
1,1,A Mishra,Kochi Tuskers Kerala
10,4,A Mishra,Pune Warriors
2,1,A Mishra,Sunrisers Hyderabad
1,1,A Mishra,Rising Pune Supergiants
1,1,A Mishra,Gujarat Lions
1,1,A Mithun,Kolkata Knight Riders
2,2,A Mithun,Chennai Super Kings
3,2,A Mithun,Delhi Daredevils
1,1,A Mithun,Kochi Tuskers Kerala
6,5,A Nehra,Kolkata Knight Riders
21,11,A Nehra,Royal Challengers Bangalore
11,6,A Nehra,Chennai Super Kings
13,9,A Nehra,Kings XI Punjab
10,5,A Nehra,Rajasthan Royals
8,4,A Nehra,Delhi Daredevils
16,8,A Nehra,Mumbai Indians
7,5,A Nehra,Deccan Chargers
2,2,A Nehra,Sunrisers Hyderabad
4,2,A Nehra,Rising Pune Supergiants
