won by runs,match,team 1,team 2,winner
5,336015,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
47,548349,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
30,734032,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
10,501250,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
7,980968,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
23,336022,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
14,419149,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
13,829766,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
24,419140,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
9,501208,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
7,548358,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders
48,598018,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
35,829786,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
22,981014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
140,335987,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
42,548320,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2,729304,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
11,392191,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
39,419132,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
28,734048,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
17,501235,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
18,548383,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
32,548375,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
41,729284,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
23,336019,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
11,419111,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
20,501244,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
34,548380,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
46,598058,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
36,419128,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
24,598073,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
8,392209,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
85,501249,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
138,829790,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
82,981004,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
75,392187,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
71,829824,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
