runs,player,team,season,match
3,A Ashish Reddy,Chennai Super Kings,5,548357
36,A Ashish Reddy,Chennai Super Kings,6,598035
6,A Ashish Reddy,Chennai Super Kings,8,829778
2,A Kumble,Chennai Super Kings,1,336034
1,A Kumble,Chennai Super Kings,2,392190
11,A Mishra,Chennai Super Kings,2,392211
6,A Mishra,Chennai Super Kings,3,419121
2,A Mishra,Chennai Super Kings,4,501241
15,A Mishra,Chennai Super Kings,6,598035
6,A Mishra,Chennai Super Kings,6,598056
4,A Mishra,Chennai Super Kings,8,829712
11,A Mithun,Chennai Super Kings,4,501276
1,A Nehra,Chennai Super Kings,1,335994
0,A Nehra,Chennai Super Kings,6,598067
1,A Singh,Chennai Super Kings,4,501254
50,A Symonds,Chennai Super Kings,3,419115
27,A Symonds,Chennai Super Kings,3,419152
23,A Symonds,Chennai Super Kings,3,419168
31,A Symonds,Chennai Super Kings,4,501226
12,AA Bilakhia,Chennai Super Kings,2,392201
11,AA Jhunjhunwala,Chennai Super Kings,3,419134
7,AA Jhunjhunwala,Chennai Super Kings,3,419142
1,AA Jhunjhunwala,Chennai Super Kings,5,548357
11,AB Agarkar,Chennai Super Kings,1,335998
9,AB Agarkar,Chennai Super Kings,3,419158
3,AB Agarkar,Chennai Super Kings,6,598025
26,AB de Villiers,Chennai Super Kings,1,336006
0,AB de Villiers,Chennai Super Kings,1,336014
105,AB de Villiers,Chennai Super Kings,2,392194
0,AB de Villiers,Chennai Super Kings,2,392211
2,AB de Villiers,Chennai Super Kings,3,419121
65,AB de Villiers,Chennai Super Kings,4,501216
0,AB de Villiers,Chennai Super Kings,4,501271
11,AB de Villiers,Chennai Super Kings,4,501273
18,AB de Villiers,Chennai Super Kings,4,501276
4,AB de Villiers,Chennai Super Kings,5,548323
64,AB de Villiers,Chennai Super Kings,6,598017
5,AB de Villiers,Chennai Super Kings,6,598073
28,AB de Villiers,Chennai Super Kings,7,734018
10,AB de Villiers,Chennai Super Kings,7,734040
14,AB de Villiers,Chennai Super Kings,8,829750
21,AB de Villiers,Chennai Super Kings,8,829784
1,AB de Villiers,Chennai Super Kings,8,829826
