wickets,stadium,bowling_style
7,Barabati Stadium,Left-arm fast
18,Barabati Stadium,Left-arm fast-medium
5,Barabati Stadium,Left-arm medium-fast
10,Barabati Stadium,Legbreak
11,Barabati Stadium,Right-arm fast
17,Barabati Stadium,Right-arm fast-medium
23,Barabati Stadium,Right-arm medium
11,Barabati Stadium,Right-arm medium-fast
27,Barabati Stadium,Right-arm offbreak
23,Barabati Stadium,Slow left-arm orthodox
31,Brabourne Stadium,Left-arm fast-medium
9,Brabourne Stadium,Left-arm medium
5,Brabourne Stadium,Left-arm medium-fast
6,Brabourne Stadium,Legbreak
5,Brabourne Stadium,Legbreak googly
34,Brabourne Stadium,Right-arm fast
41,Brabourne Stadium,Right-arm fast-medium
40,Brabourne Stadium,Right-arm medium
22,Brabourne Stadium,Right-arm medium-fast
27,Brabourne Stadium,Right-arm offbreak
22,Brabourne Stadium,Slow left-arm orthodox
4,Buffalo Park,Left-arm fast
6,Buffalo Park,Left-arm fast-medium
1,Buffalo Park,Left-arm medium
2,Buffalo Park,Left-arm medium-fast
1,Buffalo Park,Legbreak
8,Buffalo Park,Right-arm fast
9,Buffalo Park,Right-arm fast-medium
8,Buffalo Park,Right-arm medium
9,Buffalo Park,Right-arm medium-fast
15,Buffalo Park,Right-arm offbreak
7,Buffalo Park,Slow left-arm orthodox
8,De Beers Diamond Oval,Left-arm fast-medium
3,De Beers Diamond Oval,Left-arm medium-fast
2,De Beers Diamond Oval,Legbreak
4,De Beers Diamond Oval,Legbreak googly
2,De Beers Diamond Oval,Right-arm fast
7,De Beers Diamond Oval,Right-arm fast-medium
8,De Beers Diamond Oval,Right-arm medium
5,De Beers Diamond Oval,Right-arm medium-fast
20,De Beers Diamond Oval,Right-arm offbreak
16,De Beers Diamond Oval,Slow left-arm orthodox
40,Dr DY Patil Sports Academy,Left-arm fast-medium
3,Dr DY Patil Sports Academy,Left-arm medium
31,Dr DY Patil Sports Academy,Left-arm medium-fast
6,Dr DY Patil Sports Academy,Legbreak
14,Dr DY Patil Sports Academy,Legbreak googly
35,Dr DY Patil Sports Academy,Right-arm fast
57,Dr DY Patil Sports Academy,Right-arm fast-medium
53,Dr DY Patil Sports Academy,Right-arm medium
49,Dr DY Patil Sports Academy,Right-arm medium-fast
