wickets,matches,season,player
11,7,5,A Ashish Reddy
3,3,6,A Ashish Reddy
3,3,8,A Ashish Reddy
1,1,9,A Ashish Reddy
5,2,5,A Chandila
6,4,6,A Chandila
2,2,2,A Flintoff
7,4,1,A Kumble
21,9,2,A Kumble
17,12,3,A Kumble
11,5,1,A Mishra
14,6,2,A Mishra
17,12,3,A Mishra
19,12,4,A Mishra
13,8,5,A Mishra
21,11,6,A Mishra
7,4,7,A Mishra
9,7,8,A Mishra
13,8,9,A Mishra
1,1,3,A Mithun
5,4,4,A Mithun
1,1,6,A Mithun
12,7,1,A Nehra
19,13,2,A Nehra
6,3,3,A Nehra
11,7,5,A Nehra
11,8,6,A Nehra
8,4,7,A Nehra
22,10,8,A Nehra
9,5,9,A Nehra
1,1,1,A Nel
9,4,2,A Singh
9,6,4,A Singh
10,6,5,A Singh
7,6,2,A Symonds
12,8,3,A Symonds
1,1,4,A Symonds
2,1,3,A Uniyal
12,4,9,A Zampa
7,5,5,AA Chavan
1,1,6,AA Chavan
1,1,5,AA Jhunjhunwala
1,1,1,AA Noffke
8,5,1,AB Agarkar
6,5,2,AB Agarkar
4,3,3,AB Agarkar
8,5,4,AB Agarkar
3,2,5,AB Agarkar
9,6,1,AB Dinda
4,4,2,AB Dinda
9,5,3,AB Dinda
5,4,4,AB Dinda
9,6,5,AB Dinda
16,8,6,AB Dinda
5,5,7,AB Dinda
11,6,9,AB Dinda
5,3,3,AB McDonald
5,3,5,AB McDonald
1,1,6,AB McDonald
1,1,6,AC Gilchrist
11,8,4,AC Thomas
3,1,5,AC Thomas
2,1,1,AD Mascarenhas
6,3,2,AD Mascarenhas
4,2,3,AD Mascarenhas
7,3,5,AD Mascarenhas
8,5,3,AD Mathews
7,6,5,AD Mathews
5,3,6,AD Mathews
7,6,8,AD Mathews
1,1,5,AD Russell
1,1,7,AD Russell
14,9,8,AD Russell
15,8,9,AD Russell
1,1,9,AF Milne
3,2,3,AG Murtaza
3,2,4,AG Murtaza
3,1,6,AG Murtaza
1,1,6,AJ Finch
2,1,4,AL Menaria
1,1,5,AL Menaria
1,1,1,AM Nayar
4,2,2,AM Nayar
2,2,4,AM Nayar
2,2,6,AM Nayar
1,1,2,AM Rahane
4,3,2,AM Salvi
3,2,4,AM Salvi
5,3,4,AN Ahmed
3,2,6,AN Ahmed
3,3,7,AN Ahmed
1,1,8,AN Ahmed
5,3,3,AP Dole
17,11,7,AR Patel
13,9,8,AR Patel
13,9,9,AR Patel
1,1,6,AS Rajpoot
3,3,9,AS Rajpoot
3,1,4,Anand Rajan
3,3,5,Anand Rajan
2,2,6,Anand Rajan
4,4,5,Ankit Sharma
4,2,7,Ankit Sharma
3,3,8,Ankit Sharma
1,1,9,Ankit Sharma
2,1,2,Anureet Singh
15,9,8,Anureet Singh
