won by wickets,match,team 1,team 2,winner
7,419114,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
5,598062,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
5,548386,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
8,734028,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
7,829728,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
3,336040,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
8,501239,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
6,598036,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
3,734054,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
1,829796,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
4,392238,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
8,419163,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
8,501219,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
5,548325,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
8,598048,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
6,598003,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
9,980908,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
9,419166,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
6,734014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
7,829710,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
5,335991,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
4,734042,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
8,980994,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders
5,980964,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
7,392236,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
5,548352,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
8,548333,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
9,734002,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
4,829738,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
6,980930,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
9,501214,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
6,548362,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
8,733990,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
6,829744,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
5,548340,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
7,501267,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
7,734020,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
8,980920,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2,980944,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders
9,501227,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
3,829718,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
9,981000,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
5,392204,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
